studentId,class
1,2D
2,4L
3,9T
4,11G
5,1T
6,4J
7,12W
8,6N
9,8C
10,4A
11,5O
12,4L
13,6S
14,12Q
15,3T
16,7K
17,1C
18,11D
19,5F
20,4C
21,3W
22,1F
23,3S
24,5L
25,8H
26,3F
27,5X
28,6Q
29,7Y
30,10S
31,10W
32,7O
33,4L
34,5E
35,9P
36,5M
37,8H
38,6O
39,9U
40,2C
41,6B
42,3Q
43,8H
44,10V
45,11I
46,1F
47,8V
48,9M
49,9P
50,10N
51,12Q
52,10X
53,1R
54,3K
55,12D
56,3F
57,12W
58,8C
59,5E
60,3M
61,1Q
62,10Q
63,12Y
64,5U
65,1Z
66,10I
67,9U
68,1N
69,5U
70,9I
71,1Q
72,11V
73,4U
74,12Y
75,5M
76,10D
77,1A
78,9V
79,9L
80,5Z
81,4E
82,2J
83,9O
84,6A
85,11U
86,2D
87,2J
88,12E
89,7X
90,10D
91,3N
92,1G
93,4W
94,7B
95,9M
96,10B
97,11B
98,6O
99,5Q
100,1U
101,1N
102,6X
103,8X
104,6C
105,7K
106,4Z
107,11U
108,9C
109,2N
110,8N
111,7G
112,8E
113,5L
114,2D
115,1R
116,10Y
117,4K
118,4J
119,11R
120,8B
121,2K
122,9N
123,8B
124,3C
125,8M
126,1F
127,4L
128,5Y
129,6I
130,11P
131,11E
132,1I
133,8W
134,8L
135,3L
136,4O
137,9D
138,4N
139,12C
140,9G
141,1S
142,10L
143,6N
144,8U
145,3F
146,5Q
147,5W
148,3B
149,8B
150,9Z
151,12M
152,1T
153,1Y
154,11I
155,11W
156,11M
157,12F
158,1L
159,11O
160,4N
161,8C
162,1R
163,6P
164,8T
165,12Z
166,12Y
167,11E
168,10D
169,9B
170,11B
171,4J
172,12E
173,8V
174,2A
175,10R
176,8D
177,7T
178,9V
179,2M
180,10K
181,6I
182,10F
183,5E
184,6A
185,4Q
186,5I
187,2U
188,8N
189,9T
190,5Q
191,4Z
192,1N
193,3T
194,7Z
195,11X
196,1K
197,6D
198,9K
199,3K
200,11M
201,4F
202,5Q
203,11A
204,2C
205,5K
206,4O
207,6Z
208,10V
209,11Z
210,6D
211,3J
212,6C
213,3O
214,6S
215,5G
216,4G
217,10V
218,6E
219,3B
220,9E
221,4U
222,1N
223,6Q
224,10G
225,4I
226,1J
227,7U
228,10S
229,5P
230,1Z
231,9L
232,12G
233,4V
234,7Q
235,2L
236,4B
237,6W
238,12Y
239,10C
240,10J
241,3Y
242,3P
243,5D
244,10T
245,7K
246,8F
247,10C
248,9S
249,10G
250,5T
251,12H
252,6D
253,1N
254,12C
255,7A
256,2E
257,1V
258,1B
259,12O
260,2E
261,10F
262,5Y
263,10G
264,12E
265,7Y
266,1L
267,10G
268,1X
269,4E
270,10B
271,8O
272,11D
273,10G
274,6T
275,11P
276,9M
277,1D
278,6Y
279,6L
280,6X
281,3W
282,1N
283,7B
284,6G
285,10N
286,7Q
287,7E
288,1Q
289,9T
290,11X
291,10W
292,11U
293,7J
294,1Z
295,10T
296,12K
297,4X
298,12A
299,7X
300,9G
301,1D
302,11L
303,5U
304,6Z
305,12L
306,4L
307,6R
308,6U
309,10Y
310,2C
311,12E
312,4A
313,10A
314,7H
315,8L
316,7K
317,1T
318,7C
319,10R
320,8I
321,7M
322,11Q
323,8H
324,4D
325,6V
326,6R
327,2Y
328,3M
329,2Z
330,1Y
331,8Q
332,12S
333,9F
334,5I
335,7X
336,7N
337,2A
338,6R
339,9U
340,7U
341,11J
342,3S
343,12J
344,6F
345,8O
346,1U
347,7R
348,5A
349,7W
350,1Y
351,12U
352,10G
353,6S
354,12T
355,11Y
356,5B
357,4G
358,9F
359,8H
360,7O
361,11N
362,10D
363,7M
364,1H
365,4T
366,10D
367,2H
368,5P
369,1J
370,2M
371,11S
372,9T
373,10K
374,6J
375,11L
376,3T
377,12C
378,10O
379,3R
380,2P
381,4Y
382,10D
383,5C
384,3D
385,3F
386,6K
387,10J
388,1P
389,8R
390,8M
391,9H
392,5M
393,2P
394,11K
395,12C
396,1X
397,12Y
398,11E
399,8M
400,4B
401,4T
402,7P
403,3J
404,7M
405,9C
406,6J
407,8D
408,9G
409,6F
410,2C
411,4W
412,8J
413,3T
414,7S
415,8E
416,1J
417,10A
418,9L
419,1V
420,12J
421,6C
422,5R
423,9D
424,6I
425,4M
426,3Q
427,2M
428,10F
429,11D
430,11B
431,7U
432,2N
433,7C
434,9M
435,11S
436,11F
437,12U
438,4J
439,2K
440,6R
441,7N
442,2R
443,6J
444,3Q
445,4L
446,12Y
447,3B
448,3S
449,4I
450,8D
451,7K
452,7T
453,6W
454,6S
455,10W
456,4U
457,2Q
458,12Y
459,2B
460,11U
461,7L
462,2A
463,9N
464,5A
465,10M
466,5U
467,11B
468,2F
469,12M
470,6D
471,2T
472,4G
473,12T
474,2R
475,9M
476,2K
477,8A
478,10U
479,8G
480,1S
481,11Q
482,1I
483,6L
484,11F
485,7T
486,10M
487,5K
488,5A
489,2F
490,7O
491,10B
492,11O
493,3Z
494,2S
495,5A
496,9O
497,2Y
498,11L
499,1H
500,8O
501,1L
502,10K
503,10X
504,7N
505,7N
506,5O
507,7J
508,4W
509,1A
510,5B
511,12K
512,10D
513,11N
514,2N
515,10I
516,2T
517,4X
518,3I
519,9A
520,2C
521,7H
522,7E
523,11I
524,4B
525,7C
526,12E
527,10O
528,11S
529,12O
530,12H
531,2V
532,2E
533,5Y
534,12Y
535,8B
536,9A
537,11S
538,7M
539,4F
540,12H
541,10M
542,2I
543,8O
544,4R
545,7G
546,3V
547,2Z
548,10O
549,9N
550,9X
551,10K
552,11W
553,2O
554,3M
555,12P
556,12Y
557,11U
558,4R
559,8D
560,10W
561,5R
562,11C
563,8Q
564,8M
565,5K
566,5B
567,6T
568,11W
569,3E
570,10U
571,2T
572,5S
573,4Z
574,12Y
575,11V
576,3N
577,12O
578,3I
579,7I
580,10D
581,10P
582,2F
583,1H
584,11L
585,10I
586,5G
587,4S
588,10U
589,8D
590,6L
591,3P
592,4O
593,4U
594,1E
595,9J
596,8E
597,12R
598,12H
599,5X
600,4N
601,10S
602,1V
603,6M
604,12T
605,8C
606,4L
607,6H
608,7Z
609,12S
610,3Y
611,12O
612,10V
613,2X
614,7B
615,2O
616,4N
617,11Z
618,6D
619,6K
620,3Z
621,12I
622,1A
623,10Z
624,8I
625,11U
626,2Z
627,1O
628,9N
629,1F
630,3T
631,2N
632,10G
633,9M
634,10P
635,10Z
636,3M
637,11S
638,7O
639,4U
640,4D
641,8Y
642,6L
643,11H
644,5Y
645,1H
646,11G
647,4B
648,3G
649,4X
650,7N
651,1X
652,12R
653,11A
654,3Z
655,4X
656,6D
657,3K
658,11B
659,12S
660,2B
661,9P
662,1O
663,3H
664,3M
665,8L
666,10N
667,10B
668,4H
669,10U
670,5V
671,6I
672,1T
673,9W
674,12V
675,11N
676,7A
677,10W
678,2A
679,5H
680,6Y
681,4Y
682,12U
683,5G
684,12X
685,12W
686,4D
687,1R
688,10S
689,4Y
690,7G
691,6R
692,6W
693,8W
694,1J
695,2I
696,5J
697,10I
698,7F
699,8K
700,10C
701,5V
702,8V
703,7E
704,12W
705,5D
706,7X
707,3H
708,1C
709,5R
710,3C
711,8H
712,10K
713,5K
714,6U
715,10P
716,4P
717,11G
718,4Y
719,11V
720,6O
721,6V
722,9Y
723,4M
724,7M
725,3U
726,6L
727,6P
728,5T
729,7Z
730,3E
731,8B
732,6C
733,6B
734,1N
735,4N
736,4Q
737,2H
738,9J
739,7T
740,2Z
741,2W
742,12J
743,10B
744,8D
745,3E
746,11M
747,8D
748,1P
749,11U
750,3T
751,3Q
752,9O
753,12C
754,5F
755,11B
756,11X
757,3S
758,11C
759,5B
760,5G
761,5Y
762,11R
763,6U
764,3R
765,6N
766,10H
767,12B
768,7B
769,4A
770,11F
771,4Y
772,12W
773,1E
774,10C
775,3Z
776,2V
777,5Z
778,12E
779,8B
780,12S
781,11V
782,12O
783,5E
784,9U
785,5X
786,12C
787,6K
788,11J
789,9R
790,3I
791,12C
792,1V
793,6U
794,2P
795,4J
796,11F
797,10G
798,5J
799,6B
800,10M
801,5U
802,12R
803,9T
804,10D
805,5Y
806,4J
807,5L
808,3K
809,8R
810,9H
811,1Q
812,1J
813,7Q
814,10M
815,7F
816,8R
817,1Q
818,4B
819,8S
820,5Z
821,1W
822,6B
823,4B
824,6F
825,5Z
826,7M
827,1S
828,1F
829,7C
830,1B
831,8G
832,9U
833,11E
834,9D
835,2H
836,9X
837,5C
838,7F
839,10Z
840,7B
841,7F
842,11H
843,10H
844,8L
845,9K
846,12L
847,12Q
848,5C
849,3S
850,11D
851,5S
852,8I
853,5C
854,2S
855,4X
856,7R
857,5W
858,1M
859,8G
860,9O
861,11L
862,12S
863,3W
864,10P
865,10G
866,10F
867,7Q
868,2M
869,2P
870,10L
871,7F
872,3K
873,3X
874,12N
875,1J
876,2G
877,4U
878,10A
879,9Y
880,12K
881,11Q
882,9A
883,5D
884,8I
885,7T
886,1P
887,12G
888,11D
889,9J
890,4T
891,7D
892,3A
893,12G
894,1W
895,7J
896,11R
897,11E
898,6Q
899,6M
900,7M
901,9L
902,7M
903,9B
904,7H
905,3V
906,10C
907,7W
908,5X
909,10Z
910,12U
911,9I
912,10W
913,10T
914,2Z
915,6T
916,8F
917,1B
918,10P
919,9G
920,7W
921,5Q
922,8G
923,10J
924,10S
925,1F
926,8S
927,5G
928,3S
929,2W
930,7V
931,8N
932,8O
933,8L
934,9F
935,8S
936,12C
937,5N
938,4R
939,12I
940,9M
941,5Q
942,12E
943,1S
944,3X
945,3S
946,1X
947,8G
948,11S
949,2V
950,1P
951,1C
952,7Z
953,12J
954,6Z
955,7W
956,1N
957,12W
958,12N
959,2L
960,9Z
961,1D
962,10X
963,11I
964,12M
965,7Q
966,7K
967,6I
968,6Z
969,2J
970,7X
971,12D
972,7U
973,5M
974,3V
975,9Z
976,11A
977,9G
978,2D
979,12E
980,1M
981,2O
982,1D
983,7B
984,2F
985,10G
986,11F
987,3Z
988,11J
989,4F
990,10H
991,10B
992,12N
993,9Q
994,2F
995,10R
996,4Q
997,12N
998,4R
999,8C
1000,11S
1001,8N
1002,10Z
1003,5P
1004,9W
1005,9V
1006,9F
1007,10V
1008,9W
1009,9R
1010,1K
1011,8V
1012,9C
1013,4C
1014,12E
1015,11W
1016,12F
1017,3P
1018,12N
1019,11K
1020,10V
